"customer_id","full_name","acquisition_channel","customer_segment","completed_orders","lifetime_value"
308,"Customer 308","Organic Search","Enterprise","7","11063.00"
451,"Customer 451","Email Campaign","Enterprise","6","10166.00"
134,"Customer 134","Social Media","Premium","6","9867.00"
208,"Customer 208","Email Campaign","Premium","6","8671.00"
187,"Customer 187","Social Media","Enterprise","5","8372.00"
339,"Customer 339","Email Campaign","Standard","6","8372.00"
94,"Customer 94","Social Media","Enterprise","6","8073.00"
50,"Customer 50","Email Campaign","Standard","6","7774.00"
116,"Customer 116","Email Campaign","Premium","5","7774.00"
298,"Customer 298","Email Campaign","Standard","5","7774.00"
